Name,ProductPrice,ProductStyle,Fabric,Brand,FabricType,Silhouette,Season,Pattern,WashCase,ColorGroup,TotalSales,FirstMonthSale,SecondMonthSale
Vibrant cotton jersey knit shirt,59.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,,,MACHINE WASH,Red,3,0,3
Elastic waist cotton jersey shorts,44.95,Pant,Cotton Jersey Knit,Zapelle,WOVEN,,,,MACHINE WASH,Green,1,6,1
Dolman sleeve cotton jersey tee,49.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,,,MACHINE WASH,Green,3,4,3
Cowl back pleated cotton jersey dress,119.95,Dress,Cotton Jersey Knit,Zapelle,KNITS,Shift,,,MACHINE WASH,Gray,1,7,1
Cotton jersey A-line dress,64.95,Dress,Cotton Jersey Knit,Zapelle,KNITS,Shift,,,MACHINE WASH,Black,2,4,2
Cotton jersey A-line dress,64.95,Dress,Cotton Jersey Knit,Zapelle,KNITS,Shift,,,MACHINE WASH,Green,1,6,1
Cotton jersey A-line dress,64.95,Dress,Cotton Jersey Knit,Zapelle,KNITS,Shift,,,MACHINE WASH,Red,4,6,4
Cotton jersey A-line dress,64.95,Dress,Cotton Jersey Knit,Zapelle,KNITS,Shift,,,MACHINE WASH,Blue,2,8,2
Cotton jersey A-line dress,64.95,Dress,Cotton Jersey Knit,Zapelle,KNITS,Shift,,,MACHINE WASH,Green,2,5,2
Long sleeve sequin shift dress,84.95,Dress,Polyester Metallic,Zapelle,KNITS,Shift,Fall Winter,,DRY CLEAN,Black,1,0,1
Stretch crepe shift dress,59.95,Dress,Poly Crepe de Chine,Zapelle,WOVEN,Shift,Fall Winter,,MACHINE WASH,Red,5,9,5
Paperbag waist stretch crepe sash-tie pants,79.95,Pant,Poly Crepe de Chine,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Red,1,1,1
Pintuck pleat crepe shift dress,72.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Shirtdress,Spring Summer,,MACHINE WASH,Black,1,1,1
Abstract print crepe belted skirt,89.95,Skirt,Poly Crepe de Chine,Zapelle,WOVEN,,,,MACHINE WASH,Yellow,1,3,1
Dolman sleeve floral print crepe wrap dress,109.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Fit-and-flare,Spring Summer,Floral,MACHINE WASH,Orange,17,57,17
Rose print crepe vented A-line dress,59.95,Dress,Poly Crepe de Chine,Zapelle,WOVEN,,,,MACHINE WASH,White,1,1,1
Marble print crepe vented shift dress,99.95,Dress,Poly Crepe de Chine,Zapelle,WOVEN,Shift,Spring Summer,Graphic,MACHINE WASH,Blue,1,2,1
Shawl collar stripe print crepe jumpsuit,99.95,Jumpsuit,Poly Crepe de Chine,Zapelle,WOVEN,,,,MACHINE WASH,Pink,1,1,1
Abstract print crepe palazzo jumpsuit,99.95,Jumpsuit,Poly Crepe de Chine,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Pink,1,4,1
Graphic print crepe palazzo jumpsuit,72.95,Jumpsuit,Poly Crepe de Chine,Zapelle,WOVEN,,Spring Summer,Graphic,MACHINE WASH,Multi-colored,3,9,3
Tropical floral print crepe short kaftan,99.95,Dress,Poly Crepe de Chine,Zapelle,WOVEN,Shift,,Floral,MACHINE WASH,Blue,1,1,1
Vibrant abstract print crepe blouse,51.45,Top,Poly Crepe de Chine,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Multi-colored,13,35,13
Abstract print crepe palazzo jumpsuit,99.95,Jumpsuit,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Blue,1,2,1
Floral paisley print crepe trapeze shirtdress,69.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Shirtdress,Fall Winter,Floral,MACHINE WASH,Off-white,4,15,4
Floral tapestry print crepe palazzo pants,99.95,Pant,Poly Crepe de Chine,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Green,1,3,1
Floral tapestry print crepe shirt,74.95,Top,Poly Crepe de Chine,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Green,5,3,5
Floral scarf print crepe straight skirt,79.95,Skirt,Poly Crepe de Chine,Zapelle,WOVEN,,,,MACHINE WASH,Black,3,2,3
Tie neck floral print crepe shift dress,99.95,Dress,Poly Crepe de Chine,Zapelle,WOVEN,Shift,Fall Winter,Floral,MACHINE WASH,White,2,7,2
Cowl neck floral print crepe crop top,39.95,Top,Poly Crepe de Chine,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,White,1,2,1
Floral print crepe shirt,74.95,Top,Poly Crepe de Chine,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Black,3,0,3
Keyhole front floral print crepe blouse,54.95,Top,Poly Crepe de Chine,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,White,3,9,3
Floral print crepe sheath dress,99.95,Dress,Poly Crepe de Chine,Zapelle,WOVEN,Sheath,Fall Winter,Floral,MACHINE WASH,Black,3,1,3
Draped cowl floral paisley print crepe dress,99.95,Dress,Poly Crepe de Chine,Zapelle,WOVEN,Shift,Fall Winter,,MACHINE WASH,Black,1,1,1
Tropical floral print crepe shirt,74.95,Top,Poly Crepe de Chine,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Green,5,6,5
Graphic floral print crepe tiered dress,54.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Shift,Fall Winter,Floral,MACHINE WASH,Black,5,13,5
Floral print crepe pintuck pleat shirt,74.95,Top,Poly Crepe de Chine,Zapelle,WOVEN,,,,MACHINE WASH,Purple,1,3,1
Tie neck swirl print crepe shift dress,49.95,Dress,Poly Crepe de Chine,Zapelle,WOVEN,Shift,Fall Winter,Graphic,MACHINE WASH,Blue,10,6,10
Graphic floral print crepe palazzo jumpsuit,84.95,Jumpsuit,Poly Crepe de Chine,Zapelle,WOVEN,,Fall Winter,Graphic,MACHINE WASH,Blue,5,33,5
Autumn bloom print crepe shirt,74.95,Top,Poly Crepe de Chine,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Brown,5,2,5
Dolman sleeve ombre print crepe wrap dress,99.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Fit-and-flare,Fall Winter,,MACHINE WASH,Pink,2,10,2
Buckle front ombre print crepe surplice jumpsuit,99.95,Jumpsuit,Poly Crepe de Chine,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Blue,2,2,2
Side button geo stripe print crepe top,39.95,Top,Poly Crepe de Chine,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Green,2,9,2
Self-belt geo stripe print crepe dress,99.95,Dress,Poly Crepe de Chine,Zapelle,WOVEN,Shirtdress,Fall Winter,Stripes,MACHINE WASH,Green,3,3,3
Abstract ombre print crepe shirt,74.95,Top,Poly Crepe de Chine,Zapelle,WOVEN,,,,MACHINE WASH,Purple,5,2,5
Side button abstract print crepe top,79.95,Top,Poly Crepe de Chine,Zapelle,WOVEN,,,,MACHINE WASH,Blue,2,1,2
Abstract print crepe palazzo pants,99.95,Pant,Poly Crepe de Chine,Zapelle,WOVEN,,,,MACHINE WASH,Blue,2,2,2
Abstract print crepe wrap skirt,79.95,Skirt,Poly Crepe de Chine,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Black,2,1,2
Keyhole front fine crepe twill top,69.95,Top,Poly Crepe de Chine,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Black,1,1,1
Tie front crepe ruffle shirt,59.95,Top,Poly Crepe de Chine,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Black,2,4,2
Draped pleat front crepe top,69.95,Top,Poly Crepe de Chine,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Green,2,5,2
Tie neck fine crepe twill shirt,36.95,Top,Poly Crepe de Chine,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Off-white,4,11,4
Draped cowl abstract print crepe dress,59.95,Dress,Poly Crepe de Chine,Zapelle,WOVEN,Shift,Fall Winter,Graphic,MACHINE WASH,Multi-colored,18,28,18
Vibrant butterfly print crepe tie-back blouse,74.95,Top,Poly Crepe de Chine,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Blue,2,4,2
Vibrant butterfly print crepe shirtdress,99.95,Dress,Poly Crepe de Chine,Zapelle,WOVEN,Fit-and-flare,Fall Winter,Graphic,MACHINE WASH,Blue,1,4,1
Ditsy floral print crepe empire dress,89.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Fit-and-flare,Fall Winter,Floral,MACHINE WASH,Blue,1,5,1
Floral print crepe halter style top,74.95,Top,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Purple,2,2,2
Keyhole front floral print crepe blouse,74.95,Top,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Purple,1,2,1
Tie neck polka dot print crepe tiered dress,89.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Shift,,,MACHINE WASH,Purple,2,1,2
Front zip stretch poly crepe A-line dress,74.95,Dress,Poly Crepe de Chine,eshakti,WOVEN,Fit-and-flare,,,MACHINE WASH,Navy,3,9,3
Polka dot print crepe vented dress,89.95,Dress,Poly Crepe de Chine,Zapelle,WOVEN,Shirtdress,,,MACHINE WASH,Black,2,2,2
Pintuck pleat floral print crepe shirtdress,99.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Black,1,0,1
Floral print crepe A-line dress,99.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Green,5,4,5
Dolman sleeve floral print crepe empire dress,99.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Red,2,2,2
Pintuck pleat floral print crepe tunic shirt,74.95,Top,Poly Crepe de Chine,Zapelle,WOVEN,,,,MACHINE WASH,Red,2,1,2
Graphic floral print crepe palazzo jumpsuit,99.95,Jumpsuit,Poly Crepe de Chine,Zapelle,WOVEN,,,Graphic,MACHINE WASH,Green,2,2,2
Graphic print crepe palazzo jumpsuit,99.95,Jumpsuit,Poly Crepe de Chine,Zapelle,WOVEN,,,Graphic,MACHINE WASH,Green,1,1,1
Graphic floral print crepe palazzo jumpsuit,99.95,Jumpsuit,Poly Crepe de Chine,Zapelle,WOVEN,,,Graphic,MACHINE WASH,Red,2,0,2
Tie neck fine crepe twill ruffle shirt,44.95,Top,Poly Crepe de Chine,Zapelle,WOVEN,,,,MACHINE WASH,Off-white,2,1,2
Butterfly print crepe faux wrap dress,99.95,Dress,Poly Crepe de Chine,Zapelle,WOVEN,Sheath,,,MACHINE WASH,Black,1,1,1
Ruched abstract print crepe kaftan,99.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Shift,,Graphic,MACHINE WASH,Navy,3,2,3
Abstract print crepe skirt,69.95,Skirt,Poly Crepe de Chine,Zapelle,WOVEN,,,Graphic,MACHINE WASH,Blue,1,2,1
Dolman sleeve floral print crepe wrap dress,74.95,Dress,Poly Crepe de Chine,eshakti,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Blue,10,17,10
Ruched front floral print crepe kaftan,69.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Shift,,Floral,MACHINE WASH,Green,10,6,10
Graphic scarf print crepe palazzo jumpsuit,109.95,Jumpsuit,Poly Crepe de Chine,Zapelle,WOVEN,,,Graphic,MACHINE WASH,Pink,2,2,2
Fine crepe twill wrap top,69.95,Top,Poly Crepe de Chine,Zapelle,WOVEN,,,,hand wash,Off-white,3,0,3
Ruched front abstract print crepe kaftan,89.95,Dress,Poly Crepe de Chine,Zapelle,WOVEN,Shift,,Graphic,MACHINE WASH,Off-white,2,0,2
Cotton poplin tunic shirt,33.95,Top,Cotton Polyester Spandex,Zapelle,WOVEN,,,,MACHINE WASH,White,1,3,1
Button tab waist cotton denim shirtdress,79.95,Denim Dress,Denim,ZAPELLE,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,1,2,1
Pleat front deep indigo fringe hem jeans,99.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Black,1,0,1
Ruffle cascade chiffon maxi dress,119.95,Dress,Chiffon,eshakti,WOVEN,Fit-and-flare,,,MACHINE WASH,Black,10,18,10
Floral print dupioni pleated empire dress,99.95,Dress,Dupioni,eShakti,WOVEN,Fit-and-flare,Spring Summer,Floral,hand wash or machine wash cold drip dry iron low w,Pink,1,4,1
Zip front cotton chambray palazzo overalls,89.95,Jumpsuit,Chambray,ZAPELLE,WOVEN,,Year-Round,,MACHINE WASH,Indigo,4,4,4
Flutter sleeve draped ruffle back chiffon maxi dre,114.95,Dress,Polyester,eShakti,WOVEN,Fit-and-flare,,,MACHINE WASH,Black,1,4,1
Side button front poplin shirtdress,79.95,Dress,Cotton Poplin,eShakti,WOVEN,Fit-and-flare,,,MACHINE WASH,Black,1,1,1
Asymmetric hem cotton knit dress,79.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Red,4,5,4
Obi belt cotton jersey knit dress,72.95,Dress,Cotton Jersey Knit,eshakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Black,2,8,2
Cotton knit asymmetric wrap tunic,39.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,Fall Winter,,MACHINE WASH,Green,2,11,2
Obi belt cotton knit maxi dress,99.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Purple,1,2,1
Asymmetric neck cotton knit tunic dress,79.95,Dress,Cotton Jersey Knit,ZAPELLE,KNITS,Shift,,,MACHINE WASH,Black,1,1,1
Cotton knit crop wide-leg jumpsuit,89.95,Jumpsuit,Cotton Jersey Knit,eshakti,KNITS,,Year-Round,,MACHINE WASH,Navy,5,8,5
Graphic floral print pleated crepe dress,82.45,Dress,Poly Crepe de Chine,eshakti,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Green,29,73,29
Deep indigo denim peplum jacket,79.95,Denim Jacket,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,1,5,1
Vintage wash chambray denim jumpsuit,79.95,Denim Jumpsuit,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,4,6,4
Cotton denim midi shirtdress,79.95,Denim Dress,Denim,eShakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,1,3,1
Embellished scallop trim vintage denim shorts,89.95,Jeans,Denim,eshakti,WOVEN,,,,90%cotton/9%polyester/1%spandex machine wash,Indigo,1,0,1
Cotton denim wide collar shirtdress,79.95,Denim Dress,Denim,ZAPELLE,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,1,6,1
Deep indigo denim flare jeans,64.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Indigo,1,0,1
Vintage indigo denim faux button front pencil skir,79.95,Denim Skirt,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Indigo,2,1,2
Vintage wash denim flare jeans,99.95,Jeans,Denim,eshakti,WOVEN,,,,90%cotton/9%polyester/1%spandex machine wash,Indigo,1,1,1
Cotton denim surplice midi dress,69.95,Denim Dress,Denim,eShakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,1,3,1
Medium blue denim flare jeans,64.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Indigo,1,0,1
Cotton denim jogger pants,99.95,Jeans,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,3,3,3
Straight leg black denim jeans,99.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Black,1,2,1
Button front denim flare jeans,99.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Indigo,2,1,2
Button front denim flare jeans,99.95,Jeans,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Indigo,1,0,1
Quincy dress,99.95,Dress,Dupioni,eshakti,WOVEN,Fit-and-flare,,,hand wash or machine wash cold drip dry iron low w,Green,4,9,4
Cargo pocket cotton chambray skirt,59.95,Skirt,Chambray,Zapelle,WOVEN,,,,MACHINE WASH,Indigo,4,18,4
Button front cotton chambray palazzo pants,59.95,Pant,Chambray,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Indigo,7,13,7
Floral vine applique embellished dupioni dress,94.95,Dress,Polyester,eShakti,WOVEN,Fit-and-flare,,,hand wash or machine wash cold drip dry iron low w,Navy,3,0,3
Quincy dress,89.95,Dress,100% Cotton,eshakti,WOVEN,Fit-and-flare,,,MACHINE WASH,Navy,1,4,1
Belted poplin midi shirtdress,54.95,Dress,Cotton Poplin,eShakti,WOVEN,Fit-and-flare,,,MACHINE WASH,Navy,7,23,7
Curved hem poplin dress,89.95,Dress,Cotton Poplin,eShakti,WOVEN,Fit-and-flare,,,MACHINE WASH,Black,3,6,3
Cargo pocket poplin palazzo pants,54.95,Pant,Cotton Poplin,ZAPELLE,WOVEN,,,,MACHINE WASH,Navy,5,6,5
Curved hem poplin dress,79.95,Dress,Cotton Poplin,eShakti,WOVEN,Fit-and-flare,,,MACHINE WASH,Green,2,4,2
Poplin box-pleat skirt,49.95,Skirt,Cotton Poplin,eShakti,WOVEN,,,,MACHINE WASH,Green,7,8,7
Curved hem poplin dress,79.95,Dress,Cotton Poplin,eshakti,WOVEN,Fit-and-flare,,,MACHINE WASH,Navy,2,9,2
Pintuck pleat poplin fit-and-flare dress,54.95,Dress,Cotton Poplin,eShakti,WOVEN,Fit-and-flare,,,MACHINE WASH,Green,1,0,1
Cargo pocket cotton poplin palazzo pants,49.95,Pant,Cotton Poplin,Zapelle,WOVEN,,,,MACHINE WASH,Black,10,19,10
Poplin crop wide-leg pants,49.95,Pant,Cotton Poplin,ZAPELLE,WOVEN,,,,MACHINE WASH,Black,5,6,5
Shawl collar cotton poplin banded empire dress,57.95,Dress,Cotton Poplin,eshakti,WOVEN,Fit-and-flare,,,MACHINE WASH,Black,5,6,5
Cotton poplin sleeveless shirt,59.95,Top,Cotton Poplin,Zapelle,WOVEN,,Year-Round,,MACHINE WASH,Navy,1,2,1
Spaghetti strap moss crepe camisole,19.95,Top,Cotton Spandex,ZAPELLE,WOVEN,,,,MACHINE WASH,Navy,1,0,1
Pintuck pleat cotton knit tunic  top,39.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,Year-Round,,MACHINE WASH,Black,6,16,6
Seamed cotton jersey knit tunic,59.95,Top,Cotton Jersey Knit,ZAPELLE,KNITS,,Fall Winter,,MACHINE WASH,Purple,2,5,2
Cotton knit fit and flare dress,56.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Navy,7,5,7
Cotton knit fit-and-flare dress,59.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Year-Round,,MACHINE WASH,Black,3,10,3
Cotton knit fit-and-flare dress,59.95,Dress,Cotton Jersey Knit,eShakti,KNITS,Fit-and-flare,Fall Winter,,MACHINE WASH,Red,6,7,6
Smocked elastic waist cotton knit skirt,64.95,Skirt,Cotton Jersey Knit,Zapelle,KNITS,,Year-Round,,MACHINE WASH,Navy,1,3,1
Raw edge seam cotton knit tunic,59.95,Top,Cotton Jersey Knit,Zapelle,KNITS,,,,MACHINE WASH,Purple,1,2,1
Quincy dress,89.95,Dress,Cotton Jersey Knit,eshakti,WOVEN,Fit-and-flare,Year-Round,,MACHINE WASH,Black,3,6,3
Ombre star print crepe surplice empire dress,119.95,Dress,Poly Crepe de Chine,WAYWARD FANCIES,WOVEN,Fit-and-flare,Fall Winter,Whimsical,MACHINE WASH,Navy,1,13,1
Ombre star print crepe pleated empire dress,119.95,Dress,Poly Crepe de Chine,eShakti,WOVEN,Fit-and-flare,,Whimsical,MACHINE WASH,Green,3,9,3
Floral wool embellished vintage wash denim skirt,89.95,Denim Skirt,Denim,eshakti,WOVEN,,Year-Round,,90%cotton/9%polyester/1%spandex machine wash,Indigo,1,4,1
Floral embellished vintage cotton denim shirtdress,99.95,Denim Dress,Denim,eShakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,1,4,1
Ruffle flounce cotton denim wrap dress,79.95,Denim Dress,Denim,eshakti,WOVEN,,,,100% COTTON MACHINE WASH,Indigo,7,3,7
Zip front cotton denim palazzo jumpsuit,79.95,Denim Jumpsuit,Denim,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Indigo,2,4,2
Cotton denim ruched tier skirt,49.95,Denim Skirt,Denim,WAYWARD FANCIES,WOVEN,,Fall Winter,,MACHINE WASH,Blue,2,9,2
Vintage wash cotton denim shift dress,59.95,Denim Dress,Denim,Zapelle,WOVEN,,Fall Winter,,MACHINE WASH,Indigo,2,2,2
Pleated graphic stone print modal skirt,69.95,Skirt,Modal,Zapelle,WOVEN,,,,MACHINE WASH,Blue,2,2,2
Floral print modal wrap dress,89.95,Dress,Modal,eshakti,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Green,1,0,1
Graphic floral print modal ruffle flounce wrap dre,94.95,Dress,Modal,eshakti,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Yellow,3,0,3
Floral print modal banded empire dress,89.95,Dress,Modal,eshakti,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Green,2,0,2
Linear floral print rayon smocked waist dress,109.95,Dress,Rayon,WAYWARD FANCIES,WOVEN,Fit-and-flare,,Floral,hand wash,Black,1,12,1
Sash tie back floral print rayon dress,69.95,Dress,Rayon,eshakti,WOVEN,Shift,,Floral,hand wash,Multi-colored,1,11,1
Linear floral print rayon knot front dress,89.95,Dress,Rayon,eshakti,WOVEN,Fit-and-flare,,Floral,hand wash,Black,1,0,1
Graphic floral print satin ruched top,74.95,Top,Satin,WAYWARD FANCIES,WOVEN,,Fall Winter,,MACHINE WASH,Brown,2,2,2
One shoulder floral print satin crop top,74.95,Top,Satin,WAYWARD FANCIES,WOVEN,,Fall Winter,,MACHINE WASH,Multi-colored,1,0,1
Floral print satin twill shirt,74.95,Top,Satin,Zapelle,WOVEN,,,,MACHINE WASH,Pink,5,3,5
Floral embroidery illusion tulle cotton jersey top,79.95,Top,Tulle,WAYWARD FANCIES,KNITS,,Fall Winter,,MACHINE WASH,Black,1,1,1
Sheer tulle and dupioni full skirt,89.95,Skirt,Tulle,eshakti,WOVEN,,,,hand wash or machine wash cold drip dry iron low w,Black,1,1,1
Pinstripe twill wide-leg pants,89.95,Pant,Twill,Zapelle,WOVEN,,,,MACHINE WASH,Navy,1,0,1
Floral print cotton voile ruffle trim shirtdress,99.95,Dress,Voile,eshakti,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,White,4,32,4
Floral print cotton voile skirt,54.95,Skirt,Voile,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,White,2,4,2
Lace trim floral embroidery cotton voile ruffle fl,89.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Fit-and-flare,Spring Summer,,MACHINE WASH,Off-white,1,11,1
Floral print cotton voile ruffle trim peplum top,44.95,Top,Voile,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Off-white,12,8,12
Floral geo embroidery cotton voile empire sundress,89.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Fit-and-flare,,,MACHINE WASH,Off-white,1,6,1
Mixed floral block print cotton voile sash-tie shi,99.95,Dress,Voile,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Pink,1,13,1
Floral embroidery Egyptian Giza cotton voile shirt,64.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Fit-and-flare,Year-Round,,MACHINE WASH,Black,11,24,11
Cutout front fruit print cotton voile peplum top,74.95,Top,Voile,WAYWARD FANCIES,WOVEN,,Spring Summer,,MACHINE WASH,Blue,1,2,1
Floral bunny print cotton voile pleat front blouse,43.95,Top,Voile,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Pink,17,9,17
Bunny floral print cotton voile full skirt,99.95,Skirt,Voile,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Pink,4,13,4
Banded empire rose print cotton voile shirtdress,84.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Off-white,3,3,3
Fruit print cotton voile ruched tier dress,79.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Fit-and-flare,,,MACHINE WASH,Blue,1,39,1
Fruit print cotton voile empire maxi dress,67.95,Dress,Voile,WAYWARD FANCIES,WOVEN,,Sale,,MACHINE WASH,Green,5,11,5
Floral embroidery Egyptian Giza cotton voile tunic,69.95,Top,Voile,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,White,2,2,2
Embellished floral print cotton voile smocked shir,74.95,Top,Voile,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,White,1,4,1
Tropical fruit print cotton voile tiered skirt,49.95,Skirt,Voile,WAYWARD FANCIES,WOVEN,,Sale,,MACHINE WASH,Green,2,8,2
Floral print cotton voile ruffle trim shirtdress,69.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Off-white,12,41,12
Ruffle floral print cotton voile gathered shirt,74.95,Top,Voile,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,Off-white,1,5,1
Floral print cotton voile shift shirtdress,69.95,Dress,Voile,Zapelle,WOVEN,,Sale,,MACHINE WASH,Brown,8,5,8
Fruit print cotton voile empire maxi dress,64.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Fit-and-flare,,,MACHINE WASH,Green,4,1,4
Fruit print cotton voile empire maxi dress,64.95,Dress,Voile,WAYWARD FANCIES,WOVEN,,Sale,,MACHINE WASH,Brown,4,5,4
Lace trim floral embroidery Egyptian Giza cotton v,79.95,Top,Voile,WAYWARD FANCIES,WOVEN,,,,MACHINE WASH,White,2,4,2
Zip front floral bunny print cotton voile dress,84.95,Dress,Voile,eshakti,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Pink,1,5,1
Floral bunny print cotton voile gathered shirt,74.95,Top,Voile,Zapelle,WOVEN,,,,MACHINE WASH,Pink,3,1,3
Polka dot floral print cotton voile belted shirtdr,129.95,Dress,Voile,eshakti,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Pink,3,25,3
Floral motif print cotton voile shirtdress,79.95,Dress,Voile,eshakti,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,White,4,1,4
Ruffle frill floral motif print cotton voile shirt,69.95,Top,Voile,Zapelle,WOVEN,,,,MACHINE WASH,White,1,3,1
Plunge parrot print cotton voile ruched tier dress,69.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,Yellow,15,37,15
Floral motif print cotton voile belted shirtdress,89.95,Dress,Voile,eshakti,WOVEN,Fit-and-flare,,Floral,MACHINE WASH,White,2,0,2
Tropical fruit print cotton voile empire maxi dres,109.95,Dress,Voile,WAYWARD FANCIES,WOVEN,Fit-and-flare,,,MACHINE WASH,Navy,2,0,2
Floral print cotton voile ruffle trim shirtdress,67.95,Dress,Cotton,WAYWARD FANCIES,WOVEN,Fit-and-flare,,,MACHINE WASH,Black,7,10,7
Floral print cotton voile dress,62.95,Dress,Cotton,eshakti,WOVEN,Fit-and-flare,,,MACHINE WASH,Black,6,5,6
Floral block print cotton voile dress,58.95,Dress,Cotton,WAYWARD FANCIES,WOVEN,,Sale,,MACHINE WASH,Pink,2,12,2
